Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Spectrogram 1	1	3187.72793249335	3188.11417490403	482.052984357678	2068.75428229043	687_3185_1
2	Spectrogram 1	1	8736.0666472901	8736.23865408247	415.940430277146	2366.26077565283	687_8735_1
3	Spectrogram 1	1	8736.60380992062	8736.82992672642	316.771599156349	2399.31705269309	687_8735_2
4	Spectrogram 1	1	11499.7947883355	11499.9534145523	366.356014716747	2151.3949748911	687_11500_1
5	Spectrogram 1	1	11766.0300463785	11766.221291355	763.031339199937	2399.31705269309	687_11765_1
6	Spectrogram 1	1	11767.0292457436	11767.1310992355	647.334369559006	2515.01402233402	687_11765_2
7	Spectrogram 1	1	11768.0485383827	11768.2217921182	647.334369559006	2498.48588381389	687_11765_3
8	Spectrogram 1	1	11769.0186649336	11769.2476701812	647.334369559006	2432.37332973336	687_11765_4
9	Spectrogram 1	1	11769.5776910446	11769.7282101167	647.334369559006	2432.37332973336	687_11765_5
10	Spectrogram 1	1	11777.499384633	11777.6349424195	597.749953998608	2250.5638060119	687_11775_1
11	Spectrogram 1	1	11797.5098920364	11797.757180246	746.503200679804	2382.78891417296	687_11795_1
12	Spectrogram 1	1	11798.0523412561	11798.2638711733	696.918785119405	2647.23913049509	687_11795_2
13	Spectrogram 1	1	11810.294498213	11810.4883417386	415.940430277146	2267.09194453203	687_11810_1
14	Spectrogram 1	1	13787.5448101104	13787.6333383253	630.806231038874	2134.86683637097	687_13785_1
15	Spectrogram 1	1	13788.1043797251	13788.4215421939	531.637399918076	2812.52051569641	687_13785_2
16	Spectrogram 1	1	13788.8334964677	13789.0123468237	779.55947772007	2829.04865421655	687_13785_3
17	Spectrogram 1	1	13801.9922411799	13802.3701365636	465.524845837545	2465.42960677362	687_13800_1
18	Spectrogram 1	1	13823.9366164457	13824.3372878815	448.996707317412	2101.8105593307	687_13820_1
19	Spectrogram 1	1	15101.8655408186	15102.0604176362	498.58112287781	2696.82354605548	687_15100_1
20	Spectrogram 1	1	15102.3507338352	15102.4536828418	581.221815478475	2515.01402233402	687_15100_2
21	Spectrogram 1	1	15102.8039065953	15102.9927076238	713.446923639538	2481.95774529376	687_15100_3
