Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Spectrogram 1	1	0.910633985537617	1.18543587490307	250.659045075817	2878.63306977695	159_0_1
2	Spectrogram 1	1	4.89539559324538	5.10432196164858	250.659045075817	2167.92311341123	159_0_2
3	Spectrogram 1	1	7.06153280284338	7.33938543835778	333.299737676482	2167.92311341123	159_5_1
4	Spectrogram 1	1	7.54549829195763	7.76888588319559	399.412291757013	2035.69800525017	159_5_2
5	Spectrogram 1	1	8.05132946969696	8.3180092970064	366.356014716747	2515.01402233402	159_5_3
6	Spectrogram 1	1	12.3497435654545	12.6035320024466	234.130906555684	2300.14822157229	159_10_1
7	Spectrogram 1	1	31.6039708223711	31.8451254241925	201.074629515419	2333.20449861256	159_30_1
8	Spectrogram 1	1	47.6300550100615	48.2888117579674	515.109261397944	2878.63306977695	159_45_1
9	Spectrogram 1	1	48.7189181260769	49.4709592609108	432.468568797279	2878.63306977695	159_45_2
10	Spectrogram 1	1	52.5253491494473	52.8078830588899	250.659045075817	2713.35168457562	159_50_1
11	Spectrogram 1	1	161.285151573341	161.383250619889	366.356014716747	2680.29540753535	159_160_1
12	Spectrogram 1	1	161.516630068607	161.610773605213	415.940430277146	2928.21748533734	159_160_2
13	Spectrogram 1	1	161.855258945933	161.933580442772	316.771599156349	2928.21748533734	159_160_3
14	Spectrogram 1	1	162.353648901479	162.43567987792	498.58112287781	2878.63306977695	159_160_4
15	Spectrogram 1	1	162.549079978412	162.653869098257	366.356014716747	2696.82354605548	159_160_5
16	Spectrogram 1	1	165.661884995126	165.99366570506	349.827876196615	3539.75861058226	159_165_1
17	Spectrogram 1	1	172.087296690328	172.490652435643	300.243460636216	3076.97073201854	159_170_1
18	Spectrogram 1	1	267.349362367152	268.029144753507	531.637399918076	4233.94042842784	159_265_1
19	Spectrogram 1	1	268.411359001482	269.091141387836	531.637399918076	4134.77159730705	159_265_2
20	Spectrogram 1	1	269.942356138132	270.024515859849	201.074629515419	2944.74562385748	159_265_3
