Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Spectrogram 1	1	26262.2225651237	26262.5273090965	399.412291757013	2316.67636009243	926_26260_1
2	Spectrogram 1	1	26263.187248027	26263.4896023297	432.468568797279	2548.07029937429	926_26260_2
3	Spectrogram 1	1	26263.7729083731	26264.0633143255	415.940430277146	2498.48588381389	926_26260_3
4	Spectrogram 1	1	26264.3740426724	26264.6752251177	482.052984357678	2432.37332973336	926_26260_4
5	Spectrogram 1	1	26265.0021536947	26265.3286571229	432.468568797279	2498.48588381389	926_26265_1
6	Spectrogram 1	1	26265.6449895006	26265.9666698846	448.996707317412	2382.78891417296	926_26265_2
7	Spectrogram 1	1	26266.3187748486	26266.6339578032	498.58112287781	2415.84519121323	926_26265_3
8	Spectrogram 1	1	26267.1067712041	26267.426752927	415.940430277146	2415.84519121323	926_26265_4
9	Spectrogram 1	1	26281.7793858494	26282.089218839	432.468568797279	2415.84519121323	926_26280_1
10	Spectrogram 1	1	26282.3491675512	26282.6535532769	432.468568797279	2498.48588381389	926_26280_2
11	Spectrogram 1	1	26282.9722570119	26283.2972170814	482.052984357678	2382.78891417296	926_26280_3
12	Spectrogram 1	1	26283.5674253837	26283.8754101857	432.468568797279	2382.78891417296	926_26280_4
13	Spectrogram 1	1	26284.2329639471	26284.5329285798	498.58112287781	2399.31705269309	926_26280_5
14	Spectrogram 1	1	26284.8092447051	26285.0899962989	482.052984357678	2647.23913049509	926_26280_6
15	Spectrogram 1	1	26643.0892254332	26643.381208753	531.637399918076	2333.20449861256	926_26640_1
16	Spectrogram 1	1	26643.6816535434	26643.9650882078	448.996707317412	2366.26077565283	926_26640_2
17	Spectrogram 1	1	26644.2729778273	26644.5506814113	531.637399918076	2267.09194453203	926_26640_3
18	Spectrogram 1	1	26644.9067467696	26645.132898136	531.637399918076	2366.26077565283	926_26645_1
19	Spectrogram 1	1	26645.5175818802	26645.8387632951	415.940430277146	2250.5638060119	926_26645_2
20	Spectrogram 1	1	26646.1697915473	26646.4950892145	432.468568797279	2349.73263713269	926_26645_3
21	Spectrogram 1	1	26646.7820268658	26647.0718670955	498.58112287781	2366.26077565283	926_26645_4
22	Spectrogram 1	1	26647.4387420326	26647.7179661322	482.052984357678	2415.84519121323	926_26645_5
23	Spectrogram 1	1	26656.8419129506	26657.1454620884	515.109261397944	2316.67636009243	926_26655_1
24	Spectrogram 1	1	26657.4175090928	26657.7106823906	515.109261397944	2316.67636009243	926_26655_2
25	Spectrogram 1	1	26658.0120388079	26658.3072241005	482.052984357678	2366.26077565283	926_26655_3
26	Spectrogram 1	1	26658.6296344268	26658.9224300493	465.524845837545	2349.73263713269	926_26655_4
27	Spectrogram 1	1	26659.2613147147	26659.5517206671	432.468568797279	2432.37332973336	926_26655_5
