Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
28	Spectrogram 1	1	26659.935803876	26660.2037573207	548.165538438209	2432.37332973336	926_26660_1
29	Spectrogram 1	1	26660.5931941048	26660.9233148163	448.996707317412	2316.67636009243	926_26660_2
30	Spectrogram 1	1	26667.2251519735	26667.5302250511	482.052984357678	2333.20449861256	926_26665_1
31	Spectrogram 1	1	26667.8520626354	26668.1476158892	482.052984357678	2333.20449861256	926_26665_2
32	Spectrogram 1	1	26668.4799342091	26668.7814373528	399.412291757013	2366.26077565283	926_26665_3
33	Spectrogram 1	1	26669.1061048762	26669.411690294	382.88415323688	2349.73263713269	926_26665_4
34	Spectrogram 1	1	26669.7734258371	26670.0712207047	465.524845837545	2399.31705269309	926_26665_5
35	Spectrogram 1	1	26676.5276696023	26676.8363126139	482.052984357678	2300.14822157229	926_26675_1
36	Spectrogram 1	1	26677.1100036518	26677.4055569055	531.637399918076	2415.84519121323	926_26675_2
37	Spectrogram 1	1	26677.7076403115	26678.0099946143	548.165538438209	2349.73263713269	926_26675_3
38	Spectrogram 1	1	26678.3550348844	26678.6609736923	432.468568797279	2267.09194453203	926_26675_4
39	Spectrogram 1	1	26679.0019303557	26679.3099151577	432.468568797279	2333.20449861256	926_26675_5
40	Spectrogram 1	1	26679.684669305	26679.9754053299	482.052984357678	2250.5638060119	926_26675_6
41	Spectrogram 1	1	26687.4389733439	26687.7476163555	564.693676958342	2234.03566749176	926_26685_1
42	Spectrogram 1	1	26688.0614361816	26688.3484234333	564.693676958342	2250.5638060119	926_26685_2
43	Spectrogram 1	1	26688.6756321963	26688.9699954721	548.165538438209	2300.14822157229	926_26685_3
44	Spectrogram 1	1	26689.3327890513	26689.632753684	515.109261397944	2333.20449861256	926_26685_4
45	Spectrogram 1	1	26699.7597690641	26700.150482571	614.278092518741	2382.78891417296	926_26695_1
46	Spectrogram 1	1	26700.373253173	26700.6842761405	564.693676958342	2432.37332973336	926_26700_1
47	Spectrogram 1	1	26701.0161363282	26701.3200194279	597.749953998608	2234.03566749176	926_26700_2
48	Spectrogram 1	1	26701.6624310942	26701.9707595721	581.221815478475	2283.62008305216	926_26700_3
49	Spectrogram 1	1	26718.1908468925	26718.489676102	498.58112287781	2366.26077565283	926_26715_1
50	Spectrogram 1	1	26718.8154007272	26719.0988353916	515.109261397944	2382.78891417296	926_26715_2
51	Spectrogram 1	1	26719.4536642329	26719.7480275087	498.58112287781	2333.20449861256	926_26715_3
52	Spectrogram 1	1	26720.0834837258	26720.3989812139	465.524845837545	2399.31705269309	926_26720_1
53	Spectrogram 1	1	26720.7560123688	26721.0759940917	448.996707317412	2217.50752897163	926_26720_2
54	Spectrogram 1	1	26721.5430866689	26721.8678671601	515.109261397944	2283.62008305216	926_26720_3
55	Spectrogram 1	1	26747.3251843688	26747.6147109608	581.221815478475	2349.73263713269	926_26745_1
56	Spectrogram 1	1	26747.9785320696	26748.2668848738	498.58112287781	2283.62008305216	926_26745_2
57	Spectrogram 1	1	26748.6275975826	26748.9157690301	498.58112287781	2300.14822157229	926_26745_3
58	Spectrogram 1	1	26749.3525554539	26749.6139111385	614.278092518741	2515.01402233402	926_26745_4
59	Spectrogram 1	1	26749.8687013036	26750.2110932978	647.334369559006	2895.16120829708	926_26750_1
60	Spectrogram 1	1	26750.6188811339	26750.8756764534	581.221815478475	2812.52051569641	926_26750_2
61	Spectrogram 1	1	26751.2186251296	26751.4830592573	581.221815478475	3010.85817793801	926_26750_3
62	Spectrogram 1	1	26751.7525210391	26751.9178760729	597.749953998608	2862.10493125681	926_26750_4
63	Spectrogram 1	1	26752.1971057043	26752.3310779407	498.58112287781	2548.07029937429	926_26750_5
64	Spectrogram 1	1	26752.5968015257	26752.832713362	581.221815478475	2614.18285345482	926_26750_6
65	Spectrogram 1	1	26753.274614602	26753.5979213435	663.862508079139	2432.37332973336	926_26750_7
66	Spectrogram 1	1	26755.6538353367	26755.7835093769	548.165538438209	2349.73263713269	926_26755_1
67	Spectrogram 1	1	26756.0462725576	26756.1948043559	663.862508079139	2399.31705269309	926_26755_2
68	Spectrogram 1	1	26756.960443828	26757.1551287004	564.693676958342	2134.86683637097	926_26755_3
69	Spectrogram 1	1	27045.485497701	27045.7926162809	531.637399918076	2283.62008305216	926_27045_1
70	Spectrogram 1	1	27046.1009782797	27046.400991685	564.693676958342	2333.20449861256	926_27045_2
71	Spectrogram 1	1	27046.6883921917	27046.9919413295	482.052984357678	2349.73263713269	926_27045_3
72	Spectrogram 1	1	27047.3064334847	27047.6103165843	498.58112287781	2300.14822157229	926_27045_4
73	Spectrogram 1	1	27047.9357353816	27048.2413207994	482.052984357678	2267.09194453203	926_27045_5
74	Spectrogram 1	1	27048.6002177168	27048.9110462509	399.412291757013	2267.09194453203	926_27045_6
75	Spectrogram 1	1	28075.5147268565	28075.9004462012	564.693676958342	2366.26077565283	926_28075_1
76	Spectrogram 1	1	28076.1420852078	28076.4625598306	515.109261397944	2614.18285345482	926_28075_2
77	Spectrogram 1	1	28076.7653650551	28077.0948202854	581.221815478475	3391.00536390107	926_28075_3
78	Spectrogram 1	1	28077.4275945694	28077.7813288804	630.806231038874	3523.23047206213	926_28075_4
79	Spectrogram 1	1	28078.1260101752	28078.4653068649	614.278092518741	3556.28674910239	926_28075_5
80	Spectrogram 1	1	28078.8639915748	28079.1736143479	630.806231038874	3605.87116466279	926_28075_6
