Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Spectrogram 1	1	17910.8135254176	17911.6952070489	614.278092518741	2829.04865421655	686_17910_1
2	Spectrogram 1	1	17912.5094347614	17913.0758502721	680.390646599272	2415.84519121323	686_17910_2
3	Spectrogram 1	1	17913.4472700043	17914.0312489793	597.749953998608	2581.12657641455	686_17910_3
4	Spectrogram 1	1	17914.5129728725	17915.1569138476	548.165538438209	3010.85817793801	686_17910_4
5	Spectrogram 1	1	18448.0330965081	18448.406378228	316.771599156349	2151.3949748911	686_18445_1
6	Spectrogram 1	1	18448.7240342233	18449.0989378932	415.940430277146	2382.78891417296	686_18445_2
7	Spectrogram 1	1	18449.421263507	18449.8143057174	448.996707317412	2415.84519121323	686_18445_3
8	Spectrogram 1	1	18450.1473847167	18450.6100690449	548.165538438209	2515.01402233402	686_18450_1
9	Spectrogram 1	1	18461.6281609063	18461.9167520676	531.637399918076	2366.26077565283	686_18460_1
10	Spectrogram 1	1	18462.3302970229	18462.7638659425	448.996707317412	2250.5638060119	686_18460_2
11	Spectrogram 1	1	18463.1013430529	18463.5837535791	498.58112287781	2366.26077565283	686_18460_3
12	Spectrogram 1	1	18578.4223332567	18578.9095014987	448.996707317412	3093.49887053867	686_18575_1
13	Spectrogram 1	1	18579.404072552	18580.0271345341	448.996707317412	3093.49887053867	686_18575_2
14	Spectrogram 1	1	18580.7293650445	18581.40033229	366.356014716747	3076.97073201854	686_18580_1
15	Spectrogram 1	1	19309.3393426308	19309.9306943721	415.940430277146	2928.21748533734	686_19305_1
16	Spectrogram 1	1	19310.2769672818	19310.8345472397	531.637399918076	2515.01402233402	686_19310_1
17	Spectrogram 1	1	19701.2532790189	19701.8256279549	184.546490995286	2316.67636009243	686_19700_1
18	Spectrogram 1	1	22261.9445671876	22262.6946461782	267.18718359595	2548.07029937429	686_22260_1
19	Spectrogram 1	1	22263.1679865489	22263.8518263893	333.299737676482	2597.65471493469	686_22260_2
20	Spectrogram 1	1	22264.2464444037	22264.8489941396	515.109261397944	2531.54216085416	686_22260_3
21	Spectrogram 1	1	22283.5240900701	22284.2623745099	581.221815478475	2465.42960677362	686_22280_1
22	Spectrogram 1	1	22284.5277915134	22285.0326650364	498.58112287781	2267.09194453203	686_22280_2
23	Spectrogram 1	1	22285.3688576082	22285.9405091426	548.165538438209	2597.65471493469	686_22285_1
24	Spectrogram 1	1	22286.3923356826	22286.7809897872	448.996707317412	2581.12657641455	686_22285_2
25	Spectrogram 1	1	22287.8258193445	22288.3450366047	564.693676958342	2448.90146825349	686_22285_3
26	Spectrogram 1	1	22289.1031720951	22289.6482627587	581.221815478475	2614.18285345482	686_22285_4
27	Spectrogram 1	1	22290.1391089324	22290.5032678716	564.693676958342	2366.26077565283	686_22290_1
28	Spectrogram 1	1	22291.2203880846	22291.7269195689	515.109261397944	2498.48588381389	686_22290_2
29	Spectrogram 1	1	22304.4904124574	22305.047428554	680.390646599272	2465.42960677362	686_22300_1
30	Spectrogram 1	1	22305.5044926068	22306.008951373	581.221815478475	2564.59843789442	686_22305_1
31	Spectrogram 1	1	22306.4621966266	22307.0012854106	548.165538438209	2630.71099197495	686_22305_2
32	Spectrogram 1	1	22319.1284280139	22319.697753431	581.221815478475	2630.71099197495	686_22315_1
33	Spectrogram 1	1	22320.105794954	22320.6516375967	448.996707317412	2994.33003941788	686_22320_1
34	Spectrogram 1	1	22331.8941607227	22332.4764642683	630.806231038874	2696.82354605548	686_22330_1
35	Spectrogram 1	1	22332.9945689888	22333.5618870209	581.221815478475	2696.82354605548	686_22330_2
36	Spectrogram 1	1	22340.5607505273	22341.2174520454	548.165538438209	2548.07029937429	686_22340_1
37	Spectrogram 1	1	22360.9139362182	22361.4613944584	647.334369559006	2696.82354605548	686_22360_1
38	Spectrogram 1	1	22362.3901463093	22363.0483254666	597.749953998608	2465.42960677362	686_22360_2
39	Spectrogram 1	1	23084.5031390591	23084.7377517899	448.996707317412	2333.20449861256	686_23080_1
