Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Spectrogram 1	1	907.485223271303	907.730769549069	614.278092518741	2382.78891417296	761_905_1
2	Spectrogram 1	1	908.010402279089	908.246854303355	482.052984357678	2432.37332973336	761_905_2
3	Spectrogram 1	1	908.517670905339	908.763543541668	448.996707317412	2515.01402233402	761_905_3
4	Spectrogram 1	1	909.109692087643	909.372320362772	482.052984357678	2564.59843789442	761_905_4
5	Spectrogram 1	1	969.979119176273	970.091628192436	415.940430277146	2548.07029937429	761_970_1
6	Spectrogram 1	1	970.431654270957	970.56587742089	515.109261397944	2548.07029937429	761_970_2
7	Spectrogram 1	1	1080.61555954511	1080.86429711383	465.524845837545	2465.42960677362	761_1080_1
8	Spectrogram 1	1	1081.15568167129	1081.40691185749	498.58112287781	2531.54216085416	761_1080_2
9	Spectrogram 1	1	1081.70026389301	1081.94449711405	482.052984357678	2399.31705269309	761_1080_3
10	Spectrogram 1	1	1082.24389136832	1082.49171386301	415.940430277146	2481.95774529376	761_1080_4
11	Spectrogram 1	1	1082.82927523183	1083.09038023177	482.052984357678	2515.01402233402	761_1080_5
12	Spectrogram 1	1	1090.84326275835	1091.13306619899	498.58112287781	2333.20449861256	761_1090_1
13	Spectrogram 1	1	1091.39551087118	1091.57543706376	515.109261397944	2250.5638060119	761_1090_2
14	Spectrogram 1	1	1250.81754299519	1251.1967041176	663.862508079139	3242.25211721987	761_1250_1
15	Spectrogram 1	1	1251.65031831077	1252.02208455613	614.278092518741	3291.83653278027	761_1250_2
16	Spectrogram 1	1	1252.55065262788	1252.9255149539	647.334369559006	3357.9490868608	761_1250_3
17	Spectrogram 1	1	1337.64449572949	1338.02431610639	647.334369559006	3324.89280982053	761_1335_1
18	Spectrogram 1	1	1338.47954109908	1338.84989249549	663.862508079139	3060.44259349841	761_1335_2
19	Spectrogram 1	1	1339.35991395034	1339.7345470852	696.918785119405	3126.55514757894	761_1335_3
20	Spectrogram 1	1	1713.40734671337	1713.96349453707	564.693676958342	2382.78891417296	761_1710_1
21	Spectrogram 1	1	1714.23336422311	1714.80871334639	581.221815478475	2564.59843789442	761_1710_2
22	Spectrogram 1	1	1715.13071939849	1715.70339017284	515.109261397944	2399.31705269309	761_1715_1
23	Spectrogram 1	1	2163.46706645656	2163.80112238572	696.918785119405	3440.58977946146	761_2160_1
24	Spectrogram 1	1	2164.29282531334	2164.60946628417	680.390646599272	3357.9490868608	761_2160_2
25	Spectrogram 1	1	3467.49107157704	3467.87430277995	630.806231038874	2779.46423865615	761_3465_1
26	Spectrogram 1	1	3468.298917574	3468.58650761049	680.390646599272	2779.46423865615	761_3465_2
27	Spectrogram 1	1	4383.05245301844	4383.19050010363	415.940430277146	2481.95774529376	761_4380_1
28	Spectrogram 1	1	4384.77313645588	4385.10372184427	432.468568797279	1969.58545116964	761_4380_2
29	Spectrogram 1	1	4537.27099173092	4537.65132922828	713.446923639538	3093.49887053867	761_4535_1
30	Spectrogram 1	1	4538.08251477475	4538.44742882828	680.390646599272	3242.25211721987	761_4535_2
31	Spectrogram 1	1	4538.91824047836	4539.30189660189	630.806231038874	3176.13956313934	761_4535_3
32	Spectrogram 1	1	4927.33706801312	4927.53051812796	597.749953998608	2465.42960677362	761_4925_1
33	Spectrogram 1	1	4927.95491304561	4928.08128917271	663.862508079139	2597.65471493469	761_4925_2
34	Spectrogram 1	1	4928.82428315122	4928.9336449958	696.918785119405	2581.12657641455	761_4925_3
35	Spectrogram 1	1	4930.54452750567	4930.7636654536	581.221815478475	2432.37332973336	761_4930_1
36	Spectrogram 1	1	4931.18595803404	4931.30583126769	548.165538438209	2432.37332973336	761_4930_2
37	Spectrogram 1	1	4931.75439379988	4931.98105314248	581.221815478475	2267.09194453203	761_4930_3
38	Spectrogram 1	1	4933.0103205131	4933.27250457107	729.975062159671	2399.31705269309	761_4930_4
39	Spectrogram 1	1	4933.73731689475	4934.00366029137	531.637399918076	2200.9793904515	761_4930_5
40	Spectrogram 1	1	4934.43253076024	4934.60972905752	746.503200679804	2283.62008305216	761_4930_6
